table,rows_in_source,rows_loaded,rows_rejected,timestamp
companies,92,92,0,2026-07-14T11:32:53.331438
profitandloss,1276,1070,206,2026-07-14T11:32:53.331438
balancesheet,1312,1140,172,2026-07-14T11:32:53.331438
cashflow,1187,1056,131,2026-07-14T11:32:53.331438
analysis,20,16,4,2026-07-14T11:32:53.331438
documents,1585,1457,128,2026-07-14T11:32:53.331438
prosandcons,16,14,2,2026-07-14T11:32:53.331438
sectors,92,92,0,2026-07-14T11:32:53.331438
stock_prices,5520,5520,0,2026-07-14T11:32:53.331438
market_cap,552,552,0,2026-07-14T11:32:53.331438
financial_ratios,1184,1041,143,2026-07-14T11:32:53.331438
peer_groups,56,56,0,2026-07-14T11:32:53.331438
