metric,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,8.37,11.67,16.72,26.01,48.28,123.9,637.14
return_on_capital_employed_pct,3.47,7.93,13.78,27.17,114.07,162.86,696.39
net_profit_margin_pct,4.62,7.25,14.21,20.35,29.25,20.02,45.18
debt_to_equity,0.01,0.06,0.43,1.59,6.45,1.67,2.86
interest_coverage,1.61,3.18,11.36,58.09,192.29,126.13,485.94
asset_turnover,0.07,0.21,0.68,1.13,1.66,3.5,15.85
free_cash_flow_cr,-14556.0,-1315.0,1095.0,8447.0,20445.0,901.2,23254.52
revenue_cagr_5yr,5.84,8.44,11.84,17.18,21.09,12.95,7.38
pat_cagr_5yr,4.36,9.86,16.28,23.78,39.28,21.11,21.55
eps_cagr_5yr,3.56,9.18,14.87,22.05,31.64,19.0,20.2
